,countryName,travelAdv
63,Suriname,Will close its borders for all persons and flights starting 14 March.
64,Trinidad and Tobago,"On 16 March, Trinidad and Tobago announced that it closed its borders to all except Trinidad and Tobago nationals and certain medical personnel, by midnight on 17 March. Airports in Trinidad and Tobago are closed until 30 April 2020."
65,Uruguay,"Borders closed to non-residents, effective 1 April."
66,Venezuela,"Effective 10 April 2020, flights to Venezuela are suspended."
67,European Union/Schengen Area,"The European Council agreed on 17 March to ban incoming travel other than citizens from countries in the European Union, European Economic Area, Switzerland and United Kingdom, long-term residents and people with long-term visa or residence permits, family members of EU and EEA citizens, medical personnel and people responsible for transport of goods for 30 days. Each country has to implement the decision on the national level. Ireland choose to opt out from the decision due to the Common Travel Area. The agreement was to close borders for 30 days starting at noon on 17 March, though enforcement did not begin immediately as planned. By the end of March, all EU member states (except Ireland) and all associated Schengen states (Iceland, Liechtenstein, Norway and Switzerland) had introduced the travel restriction. The restriction was later prolonged until 15 May. Some member states went even further and also prohibited EU and EEA citizens from entering, unless they are permanently living in the country or transiting to their home country, which is generally still possible (see also section Non-global restrictions below):
"
68,Austria,"Closed land borders for persons not having medical certificate confirming negative test for SARS-CoV-2 within last four days. Visitors arriving by air without proof of recently testing negative will be allowed into the country, but placed in mandatory quarantine for 14 days or until they test negative."
69,Belgium,Closed its borders to non-essential travel on 20 March.
70,Croatia,Closed its borders to non-citizens on 19 March.
71,Czech Republic,"Partially closed its borders on 14 March. Closed its borders to all non-residents on 16 March. From 24 April, EU nationals are allowed to enter for short business trips or study, but only with an up-to-date negative test."
72,Cyprus,"The Cypriot government has announced that only its citizens, along with other Europeans working on the island and people with special permits will be allowed into the country for a 15-day period beginning on 15 March. This ban has been extended until 30 April 2020."
73,Denmark,"Closed its borders to all non-citizens 14 March.  This includes a ban on crossing the border for all tourism, but exempts travellers with ""credible purpose"" such as non-citizen Danish residents."
74,Estonia,"Effective 17 March 2020, foreign travellers are not allowed to enter. Right of entry will remain for citizens and those with a right of residence, and foreign citizens whose next of kin live in Estonia. Transit is allowed for foreigners not showing signs of the coronavirus. A mandatory two-week quarantine will be set for anyone entering the country."
75,Finland,"Closed its borders on 19 March 2020, except for Finnish citizens returning to Finland, foreigners returning to their countries of origin, essential work-related travel, and goods. Finnish citizens returning home are recommended to quarantine themselves for 14 days after arrival."
76,France,Banned all non-essential travel into the country on 6 April.
77,Hungary,Hungary closed its borders for all passenger transport on 17 March and only Hungarian citizens and permanent residents from the EEA are allowed to enter.
78,Latvia,"Effective 17 March 2020 all international passenger connections by air, railway, sea and road, were to be cancelled. Only Latvians and foreigners with residency rights in Latvia will be able to enter the country from outside the Schengen Area, but entry of foreign citizens by private vehicle from other Schengen member countries was still allowed."
79,Lithuania,"Closed the border for foreigners, except for those with residence permits, effective 00:00 (UTC+02:00) 16 March – 27 April 2020."
80,Norway,"Effective 16 March 2020, closed airports temporarily. Foreigners are turned away, and exemptions are made for Norwegians returning from abroad, and for goods."
81,Poland,"Effective 15 March – 3 May 2020, entry ban for all foreigners except for those with residential or work permits, and 14 days' quarantine on all people entering."
82,Romania,Effective 22 March 2020 Romania banned foreign citizens from entering the country with the exception of official residents or those who are transiting the country.
83,Slovakia,Closed its borders to all non-residents on 13 March.  Closed all three international airports and require all residents returning from abroad to 14 days quarantine in government designated quarantine facility.  Violators may be fined up to 1659 EUR.
84,Spain,Closed borders to non-residents on 17 March.
85,Switzerland,"Borders closed to foreigners, starting 17 March 2020."
86,Azerbaijan,"Effective 23 March 2020, passengers are not allowed to enter Azerbaijan except passengers with a work permit and passengers with a special permission issued by the government of Azerbaijan."
87,Armenia,Passengers are not allowed to enter Armenia until 14 May 2020.
88,Albania,"Closed borders on 15 March and all commercial flights on 29 March.Therefore, travel between Albania and Montenegro, Kosovo, North Macedonia, and Greece is prohibited, unless for the transportation of goods."
89,Georgia,"The Georgian government imposed a ban on all foreign citizens entering the country and closed its borders. Georgia also halted all air travel with other countries on 20 March. These restrictions were set to end on 21 April, but were then extended until 10 May."
90,Isle of Man,The Isle of Man closed its borders for all incoming transport on 25 March.
91,Moldova,"Closed its airspace and terrestrial borders for all foreigners, except for diplomats and permanent residents, effective from 00:00 (UTC+02:00) 17 March 2020."
92,North Macedonia,Closed its borders on 17 March.
93,Russia,"Borders closed to foreigners with some exceptions, effective 18 March and until the end of the coronavirus epidemic in the country."
94,Serbia,Closed its borders on 16 March.
95,Turkey,"Effective 28 March, Turkey is suspending all international flights to and from Turkey, amid COVID-19 outbreak. Turkey also closed its borders with all its neighbours."
96,Ukraine,"Starting 15 March, Ukraine has closed its border for foreigners for two weeks. Returning Ukrainian citizens will be required to submit to health observation procedures. Effective 17 March, Ukraine is suspending all commercial passenger services, including flights, trains and passenger buses, to and from Ukraine for a period of two weeks."
97,Australia,Borders closed to all non-citizens and non-residents of Australia from 21:00 March 20.
98,Marshall Islands,Passengers are not allowed to enter Marshall Islands. until 5 May 2020.
99,New Caledonia,Passengers except parents of a French minor and spouses of a national of France are not allowed to enter New Caledonia. Flights to New Caledonia are suspended until 31 May 2020.
100,New Zealand,Borders closed to all non-citizens or permanent residents (except for spouses or dependent children under 24 travelling with their New Zealand citizen or permanent resident spouse or parent) including the previously exempt Pacific Islands or temporary visa holders (such as students) from 23:59 March 19.
101,Fiji,Borders closed to all non-citizens.
102,Tuvalu,Tuvalu's borders are closed.
103,Vanuatu,Vanuatu ports of entry are closed from 20 March 2020.
104,Antigua and Barbuda,"Visitors who have travelled through Austria, Belgium, Bulgaria, Canada, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Ireland (Rep.), Italy, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Singapore, Slovakia, Slovenia, Spain, Sweden, Switzerland, USA or United Kingdom in the past 28 days are not allowed to enter or transit Antigua and Barbuda. Banned arrivals from Japan."
105,Bahrain,"Visa on arrival has been suspended. This does not apply to passengers with a diplomatic, an official, a service or UN passport. Passengers who have been in Austria, Belgium, China (People's Rep.), Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Iran, Iraq, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, United Kingdom and USA in the past 14 days are not allowed to transit and enter Bahrain. Passengers who have been in Hong Kong (SAR China), Italy, Japan, Lebanon, Malaysia, Singapore or Thailand in the past 14 days must have a valid visa prior to arrival."
106,Botswana,"Visitors from Austria, Belgium, China (People's Rep.), Denmark, France, Germany, India, Iran, Italy, Japan, Korea (Rep.), Netherlands, Norway, Spain, Sweden, Switzerland, USA or United Kingdom are not allowed to enter or transit Botswana."
107,Bulgaria,"A temporary ban on entry imposed on all persons arriving from Italy, Spain, France, the United Kingdom, Germany, the Netherlands, Switzerland, Austria, Belgium, Iceland, Liechtenstein, Luxembourg and non-EU/Schengen countries. Visitors from some countries can transit through Bulgaria to return home."
108,Cambodia,"Visitors from France, Germany, Iran, Italy, Spain or USA are not allowed to enter Cambodia. Visitors from Japan denied entry."
109,Gabon,"Visitors who have travelled through Austria, Belgium, Bulgaria, China (People's Rep.), Croatia, Cyprus, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Italy, Ireland (Rep.), Japan, Korea (Rep.), Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Romania, Spain, Slovakia, Slovenia, Sweden, Switzerland, USA or the United Kingdom in the past 14 days are not allowed to enter or transit Gabon."
110,Germany,"Effective 16 March 2020 Germany has partially closed its borders with Austria, Denmark, France, Luxembourg, and Switzerland. However, goods will continue to flow between the countries to curb panic-buying. Non-essential travel from Austria, Denmark, France, Italy, Luxembourg, Spain, Switzerland, and non-EU/Schengen countries is banned."
111,Greece,"Initially suspended all passenger flights to and from Italy on 14 March, excluding cargo and sanitary ones. On 16 March Greece closed its borders with Albania and North Macedonia, only permitting the transportation of goods and the entry of Greek nationals and permanent residents, suspended ferry services to and from Italy and air links to Spain and prohibited all cruise ships and sailboats docking in Greek ports. The same day it was announced that a 14-day home restriction will be mandatory for those who enter the country. On 23 March Greece suspended all passenger flights from the UK as well as all air, sea, rail and road connections with Turkey, with an exception for Greek citizens and those who have residence permits, as well as trucks and ships that transport goods. On 28 March, Greece suspended all commercial flights to and from Germany and the Netherlands and on 15 April the Hellenic Civil Aviation Authority extended, until 15 May, the ban on passenger flights to and from Italy, Spain, Turkey, the United Kingdom, the Netherlands and Germany. Exemptions include cargo, sanitary, humanitarian, state, military, ferry and Frontex flights, as well as flights in support of the Hellenic National Healthcare System, those for repatriation of Greek citizens and emergency flights."
112,Japan,"Passengers who have been in Albania, Andorra, Antigua and Barbuda, Armenia, Australia, Austria, Bahrain, Barbados, Belarus, Belgium, Bolivia, Bosnia and Herzegovina, Brazil, Brunei Darussalam, Bulgaria, Canada, Chile, China (People's Rep.), Congo (Dem. Rep.), Côte d'Ivoire, Croatia, Cyprus, Czechia, Denmark, Djibouti, Dominica, Dominican Republic, Ecuador, Egypt, Estonia, Finland, France, Germany, Greece, Hong Kong (SAR China), Hungary, Iceland, Indonesia, Iran, Ireland, Israel, Italy, Korea (Rep.), Kosovo (Rep.), Kuwait, Latvia, Lithuania, Luxembourg, Macao (SAR China), Malaysia, Malta, Mauritius, Moldova (Rep.), Monaco, Morocco, Montenegro, New Zealand, North Macedonia, Oman, Panama, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russia, San Marino, Saudi Arabia, Serbia, Singapore, Slovakia, Slovenia, Spain, Saint Kitts and Nevis, Switzerland, Taiwan, Thailand, Turkey, Ukraine, United Arab Emirates, United Kingdom, United States, Vatican or Viet Nam in the past 14 days are subject to an entry ban (foreign citizens incl. residents of Japan) or quarantine (Japanese citizens and Special Permanent Residents)."
113,Macau,"Entry denied to all travellers except residents of mainland China, Hong Kong, Macau, or Taiwan. Previously, restrictions were implemented for travellers coming from a smaller set of countries."
114,Nauru,"Entry denied to passengers who have been to mainland China, Hong Kong, Macau, Iran, or South Korea in the past 21 days. Health screening for other passengers."
115,Portugal,Closed its border with Spain to non-essential travel such as tourism on 16 March.
116,Samoa,"All travelers, including returning residents entering Samoa, must have a medical certificate issued by a registered medical practitioner issued within 3 days before their arrival into Samoa. Passengers who have transited through or have been in Australia, Austria, Bahrain, Belgium, Canada, China (People's Rep.), Czechia, Denmark, France, Germany, Greece, Hong Kong (SAR China), Iceland, Italy, Iran, Japan, Korea (Rep.), Kuwait, Luxembourg, Macao (SAR China), Malaysia, Netherlands, Norway, Qatar, Singapore, Spain, Sweden, Switzerland, Taiwan, Thailand, United Arab Emirates or USA are not allowed to enter Samoa."
117,South Korea,"Effective 13 April 2020, citizens of countries that restricted visa-free travel for South Koreans will not be allowed visa-free travel in South Korea. Visas issued on or before 5 April are invalidated."
118,Sweden,"beginning 15 March 2020 there is an entry ban which applies to all foreign citizens attempting to enter Sweden from all countries except those in the EEA, the UK and Switzerland."
119,United States,"On 31 January 2020, the United States declared the virus a public health emergency. Starting 2 February, all inbound passengers who have been to Hubei in the previous 14 days will be put under quarantine for up to 14 days. American citizens who have travelled to the rest of mainland China will be allowed to continue their travel home if they are asymptomatic, but will be monitored by local health departments. As of 2 March, foreign nationals who have travelled to Iran within the past 14 days are denied permission to enter the US. American citizens and permanent residents returning to the United States who have travelled to Iran within the previous 14 days must enter through an approved airport. Suspended incoming travel from the Schengen area in Europe, beginning at 23:59 ET on 13 March. The official proclamation states that this restriction applies only to foreign nationals traveling to the United States, if they have been to a country within the Schengen area in the past 14 days. The ban does not apply to for example legal permanent residents and most immediate family members of U.S. citizens. Also, cargo and trading goods are not affected. On 14 March, Trump administration extended the ban to include United Kingdom and Ireland. The restrictions will reportedly be in place for 30 days, however the official proclamation does not contain that time limit, stating; ""This proclamation shall remain in effect until terminated by the President."" The move was criticised by EU leaders."
120,Australia,"The Australian Government has announced that any person – regardless of citizenship or residency status – travelling to Australia from any international destination will be required to undergo a compulsory 14-day quarantine, beginning from their date of arrival. The regulations, effective from 16 March 2020, also ban cruise ships arriving from international waters from docking at any Australian port."
121,Benin,14-day quarantine.
122,Canada,"Effective midnight 25 March 2020, the Canadian government announced an Emergency Order under the Quarantine Act that requires any person entering Canada by air, sea or land to self-isolate for 14 days whether or not they have symptoms of COVID-19."
123,Chile,Will not permit cruise ships to dock as of 15 March. Travellers who have been to countries of concern are subject to examination or quarantine upon arrival.
124,Ethiopia,Mandatory 14-day quarantine at the traveller's expense.
125,Fiji,"After the lockdown of Lautoka on 20 March 2020, no person regardless of citizenship is allowed to leave the confines of the city."
126,Guernsey,"Imposed a requirement on all persons arriving in the Bailiwick from anywhere in the world (including Jersey and the UK) to self-isolate for 14 days on arrival. This is a legal requirement, and failure to comply is a criminal offence."
127,Hong Kong,"Effective 19 March 2020, all persons arriving in Hong Kong who have been to Mainland China or any overseas countries/territories (excluding Macao and Taiwan) in the past 14 days, regardless of whether they are Hong Kong residents, are subject to compulsory quarantine. Effective 25 March 2020, all persons arriving in Hong Kong, regardless of whether they are Hong Kong residents, are subject to compulsory quarantine."
128,Israel,"From 9 March, Israel instituted a blanket 14-day quarantine on all visitors and returning citizens."
129,Jersey,"From Friday 20 March, all travellers arriving in Jersey must now self-isolate for 14 days. This includes the UK, Guernsey, Europe and the rest of the world."
130,Malta,"Tourists entering Malta from any country from 13:30 on 13 March 2020 onwards must spend 14 days in mandatory quarantine, which 14 days start from the last day that they were in any of these countries. This is enforceable by law. Failure to observe this obligation will result in fines of €1,000 for each time it is breached."
131,New Zealand,"beginning 15 March 2020, any person entering New Zealand from overseas, including New Zealand citizens, will be required to self-isolate for 14 days following entry, except for those travelling from the Pacific Islands unless they are displaying symptoms. All cruise ships have been banned until 30 June 2020. Beginning 23:59 19 March 2020, New Zealand refused entry to non-citizens or permanent residents (with limited exceptions)."
132,Norway,"beginning 17 March 2020, Norway introduced a quarantine obligation for all who arrive in Norway."
133,Singapore,"Effective 20 March 2020, all arrivals from abroad will be issued Stay-Home Notices lasting 14 days."
134,South Korea,"Effective 1 April 2020, all passengers are subject to mandatory self-quarantine for 14 days. This does not apply to airline crew."
135,Taiwan,All passengers arriving from outside Taiwan are subject to a 14-day home quarantine.
